,No,Lat,Long,geometry,EDHLTH_WAC_SCALED,EMP_RAC_SCALED,LEISER_WAC_SCALED,RETAIL_WAC_SCALED,index_right,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Population,Pop per Ar,HH_Units,Bachelor's,Median Inc,All Degree,Public Tra
211,211,-84.4223,37.9851,POINT (-84.42230000000001 37.9851),0.11528696699999999,1455.4161119999999,2.1904523780000003,0.0,148,21,067,003913,2,2147483647,Block Group 2,G5030,S,1228971,82614,+37.9873201,-084.4176781,612.0,0.000497978,342.0,301.0,93900,201.0,0.0
212,212,-84.4223,37.9878,POINT (-84.42230000000001 37.9878),0.0,948.0366339,10.60278742,0.0,148,21,067,003913,2,2147483647,Block Group 2,G5030,S,1228971,82614,+37.9873201,-084.4176781,612.0,0.000497978,342.0,301.0,93900,201.0,0.0
252,252,-84.425,37.9851,POINT (-84.425 37.9851),26.55133626,732.3313887999999,0.672185728,0.672185728,148,21,067,003913,2,2147483647,Block Group 2,G5030,S,1228971,82614,+37.9873201,-084.4176781,612.0,0.000497978,342.0,301.0,93900,201.0,0.0
253,253,-84.425,37.9878,POINT (-84.425 37.9878),0.0,656.7735922999999,1.781841992,0.0,148,21,067,003913,2,2147483647,Block Group 2,G5030,S,1228971,82614,+37.9873201,-084.4176781,612.0,0.000497978,342.0,301.0,93900,201.0,0.0
294,294,-84.4278,37.9878,POINT (-84.4278 37.9878),29.74577619,533.8837653,0.748788646,0.748788646,148,21,067,003913,2,2147483647,Block Group 2,G5030,S,1228971,82614,+37.9873201,-084.4176781,612.0,0.000497978,342.0,301.0,93900,201.0,0.0
335,335,-84.4305,37.9878,POINT (-84.43049999999999 37.9878),66.90502618,519.848531,1.519312671,1.519312671,148,21,067,003913,2,2147483647,Block Group 2,G5030,S,1228971,82614,+37.9873201,-084.4176781,612.0,0.000497978,342.0,301.0,93900,201.0,0.0
9,9,-84.4086,37.9933,POINT (-84.40860000000001 37.9933),40.73881149,4076.7167600000002,29.09915106,201.81966119999998,409,21,067,003913,1,2147483647,Block Group 1,G5030,S,1295236,27939,+37.9926057,-084.4122325,1860.0,0.001436032,677.0,913.0,124568,451.0,0.0
10,10,-84.4086,37.996,POINT (-84.40860000000001 37.996),51.946841299999996,4415.4193,21.43749845,1940.538443,409,21,067,003913,1,2147483647,Block Group 1,G5030,S,1295236,27939,+37.9926057,-084.4122325,1860.0,0.001436032,677.0,913.0,124568,451.0,0.0
49,49,-84.4113,37.9906,POINT (-84.4113 37.9906),19.72026741,3443.1653990000004,19.34815405,5.634362117,409,21,067,003913,1,2147483647,Block Group 1,G5030,S,1295236,27939,+37.9926057,-084.4122325,1860.0,0.001436032,677.0,913.0,124568,451.0,0.0
50,50,-84.4113,37.9933,POINT (-84.4113 37.9933),33.93543357,4760.295375,24.23959541,151.69999230000002,409,21,067,003913,1,2147483647,Block Group 1,G5030,S,1295236,27939,+37.9926057,-084.4122325,1860.0,0.001436032,677.0,913.0,124568,451.0,0.0
